Catalog no.,Artist,Album,Performers,Encoding,Source,Date Added,Tags,Notes
mc2285,Charley Patton,Screamin' and Hollerin' the Blues: The Worlds of Charley Patton,"Charley Patton, et al",FLAC,BitTorrent,2015-08-30,blues 1920s 1930s box-sets,
mc2286,Various,Masters of Memphis Blues,Various,FLAC,BitTorrent,2015-09-01,blues ragtime pop 1920s 1930s box-sets jsp,
mc2287,Mississippi John Hurt,Complete (Vanguard) Studio Recordings,Mississippi John Hurt,FLAC,BitTorrent,2015-09-02,blues folk 1960s,Needs INFO file.
mc2288,Various,The Road to Robert Johnson and Beyond,Various,FLAC,BitTorrent,2015-09-03,blues box-sets jsp,
mc2289,Various,Crescent City Bounce: From Blues to R & B in New Orleans,Various,FLAC,BitTorrent,2015-09-02,blues rock rnb box-sets jsp,
mc2290,Jelly Roll Morton,Recordings 1926--1930,"Jelly Roll Morton, et al",FLAC,BitTorrent,2015-09-03,jazz blues 1920s 1930s box-sets jsp,
mc2291,Eddie Lang & Joe Venuti,The New York Sessions 1926--1935,"Eddie Lang, Joe Venuti, et al",FLAC,BitTorrent,2015-09-03,jazz 1920s 1930s box-sets jsp,
mc2292,Sonny Terry & Brownie McGhee,Recordings 1938--1948,"Sonny Terry, Brownie McGhee, et al",FLAC,BitTorrent,2015-09-07,blues gospel 1930s 1940s box-sets jsp,
mc2293,Sleepy John Estes,Complete Recorded Works,"Sleepy John Estes, et al",FLAC,BitTorrent,2015-09-07,blues 1920s 1930s 1940s box-sets document,
mc2294,Thelonious Monk & John Coltrane,At Carnegie Hall,"Thelonious Monk, John Coltrane, et al",FLAC,Personal collection,2015-09-09,jazz 1950s live,
mc2295,Christian Wolff,Bread & Roses: Piano Works 1976--1983,Sally Pinkas,FLAC,Personal collection,2015-09-11,piano solo 20th-century 1970s 1980s,
mc2296,Dave Tarras,Yiddish-American Klezmer Music 1925--1956,"Dave Tarras, et al",FLAC,Monroe County Library,2019-05-12,jewish yiddish klezmer,
mc2297,Various,Folk Music in Sweden: Varjehanda Folkmusik,Various,FLAC,Monroe County Library,2019-05-12,folk sweden compilations,
mc2298,Various,Rockin' This House: Chicago Blues Piano 1946--1953,Various,MP3,BitTorrent,2019-07-16,blues chicago 1940s 1950s box-sets jsp,
mc2299,Django Reinhardt,Musette to Maestro 1928--1937,"Django Reinhardt, et al",FLAC,BitTorrent,2015-09-16,jazz pop 1920s 1930s box-sets jsp,
mc2300,Django Reinhardt,Django in Rome 1949--1950,"Django Reinhardt, et al",FLAC,BitTorrent,2015-09-16,jazz 1940s 1950s box-sets jsp,
mc2302,Duo Alterno,"La Voce Contemporanea in Italia, vol. 1",Duo Alterno,FLAC,Personal collection,2015-09-26,chamber vocal 20th-century,"Includes works by Azio Corghi, Luigi Dallapiccola, Giacinto Scelsi, and others.  Needs INFO file."
mc2303,Ninesense,Happy Daze + Oh For the Edge,Ninesense,FLAC,Personal collection,2015-09-26,improvisation,Needs INFO file.
mc2304,The Stone Quartet,"DMG @ The Stone, vol. 1",The Stone Quartet,FLAC,Personal collection,2015-09-26,improvisation chamber 2000s,Needs INFO file.
mc2305,Roger Sessions,"Quintet, Quartet, Canons",The Group for Contemporary Music,FLAC,Personal collection,2015-09-27,chamber 20th-century naxos,Needs INFO file.
mc2306,George Shearing & Mel Tormé,Top Drawer,"George Shearing, Mel Tormé, Don Thompson",FLAC,Friend's collectio,2015-10-21,jazz 1980s vinyl-rips,
mc2307,The Dave Brubeck Quartet,Gone With the Wind,The Dave Brubeck Quartet,FLAC,Friend's collection,2015-10-21,jazz 1950s vinyl-rips,
mc2308,The Dave Brubeck Quartet,Time Out,The Dave Brubeck Quartet,FLAC,BitTorrent,2016-11-28,jazz 1950s columbia,
mc2309,Bill Frisell,East / West,"Bill Frisell, et al",FLAC,BitTorrent,2021-12-18,live jazz rock country folk 2000s,
mc2310,Jim Hall,Concierto,"Jim Hall, et al",FLAC,Friend's collection,2015-10-21,jazz 1970s verve vinyl-rips,
mc2311,George Shearing & Mel Tormé,An Elegant Evening,George Shearing & Mel Tormé,FLAC,Friend's collection,2015-10-21,jazz 1980s vinyl-rips,
mc2312,Huelgas-Ensemble,La Quinta Essentia,"Huelgas-Ensemble, Paul Van Nevel",FLAC,Monroe County Library,2017-10-03,16th-century choral masses,"Includes works by Orlande de Lassus, Thomas Ashewell, and Palestrina."
mc2313,Bill Evans,New Conversations,Bill Evans,FLAC,BitTorrent,2015-10-22,jazz 1970s hdtracks,
mc2314,Georg Philipp Telemann,"Complete Overtures, Vol. 1","Collegium Instrumentale Brugense, Patrick Peire",FLAC,Monroe County Library,2023-04-20,18th-century orchestral brilliant-classics telemann-edition,
mc2315,Chet Baker,Chet Is Back,"Chet Baker, et al",FLAC,BitTorrent,2015-11-04,jazz 1960s vinyl-rips,
mc2316,John Cage,Sonatas and Interludes,Boris Berman,FLAC,BitTorrent,2023-06-06,solo prepared-piano 20th-century naxos,
mc2318,Georg Philipp Telemann,Concertos and Chamber Music,Musica Alta Ripa,FLAC,BitTorrent,2023-06-08,18th-century chamber concertos mdg,Five volumes.
mc2319,Chet Baker & Gerry Mulligan,"Carnegie Hall Concert, vols. 1 & 2","Chet Baker, Gerry Mulligan, et al",FLAC,BitTorrent,2015-11-04,jazz live 1970s vinyl-rips,Need better INFO files.
mc2320,Ry Cooder & Vishna Mohan Bhatt,A Meeting by the River,"Ry Cooder, Vishna Mohan Bhatt, et al",FLAC,Monroe County Library,2023-06-10,india improvisation chamber 1990s,
mc2321,Arthur Sullivan,HMS Pinafore,"Scottish Opera, Richard Egarr, et al",FLAC,Monroe County Library,2023-06-10,opera 19th-century,
mc2322,Henry Purcell,Ten Sonatas in Four Parts,Retrospect Trio,FLAC,BitTorrent,2015-11-08,chamber 17th-century,
mc2323,Arthur Sullivan,Patience,"D'Oyly Carte Opera Orchestra & Chorus, Isidore Godfrey, et al",FLAC,Monroe County Library,2023-06-10,opera 19th-century naxos-historical,
mc2324,Bill Frisell,Further East / Further West,"Bill Frisell, et al",FLAC,BitTorrent,2021-12-18,live jazz rock folk country 2000s,
mc2325,Arthur Sullivan,The Gondoliers,"D'Oyly Carte Opera Orchestra & Chorus, John Pryce-Jones, et al",FLAC,Monroe County Library,2023-06-24,opera 19th-century gilbert-and-sullivan,
mc2326,Arthur Sullivan,The Pirates of Penzance,"D'Oyly Carte Opera Orchestra & Chorus, John Pryce-Jones, et al",FLAC,Monroe County Library,2023-06-24,opera 19th-century gilbert-and-sullivan,
mc2327,Bill Frisell,"History, Mystery","Bill Frisell, et al",FLAC,BitTorrent,2021-12-18,jazz country folk 2000s,
mc2328,The Musicians of the Nile,Luxor to Isna,The Musicians of the Nile,FLAC,Monroe County Library,2017-10-03,egypt instrumental 1980s,
mc2329,Claudio Monteverdi,Tasso Madrigals,"Concerto Italiano, Rinaldo Alessandrini, et al",FLAC,Monroe County Library,2017-10-03,madrigals choral 17th-century brilliant-classics,
mc2332,Miles Davis,Volumes 1 & 2,"Miles Davis, et al",FLAC,BitTorrent,2015-11-16,jazz 1950s blue-note hdtracks,
mc2335,Lee Morgan,The Sidewinder,"Lee Morgan, et al",FLAC,Personal collection,2016-04-03,jazz 1960s blue-note,
mc2337,Bill Evans,We Will Meet Again,"Bill Evans, et al",FLAC,BitTorrent,2015-11-27,jazz 1970s hdtracks,
mc2339,Kenny Drew & Niels-Henning Ørsted Pedersen,Duo,Kenny Drew & Niels-Henning Ørsted Pedersen,FLAC,BitTorrent,2015-12-04,jazz 1970s,
mc2340,Kenny Drew,Complete Recordings 1953--1954,"Kenny Drew, et al",FLAC,BitTorrent,2015-12-04,jazz 1950s,
mc2345,Various,Vocal Groups: Classic Doo-Wop Remastered,Various,FLAC,BitTorrent,2019-07-16,doo-wop soul pop box-sets jsp,
mc2346,Various,Shake That Thing: East Coast Blues 1935--1953,Various,FLAC,BitTorrent,2019-07-16,blues rock 1930s 1940s 1950s box-sets jsp,
mc2347,Various,"The Guitar Evangelists, vol. 2",Various,FLAC,BitTorrent,2019-07-16,gospel 1940s box-sets jsp,
mc2348,Sonny Boy Williamson,"The Original Sonny Boy Williamson, vol. 1",Various,MP3 256 kb/s,BitTorrent,2019-07-16,blues box-sets jsp,
mc2349,Various,Powerhouse Gospel on Independant Labels 1946--1959,Various,FLAC,BitTorrent,2019-07-16,gospel 1940s 1950s box-sets jsp,
mc2350,Various,A Richer Tradition: Country Blues & String Band Music 1923--1942,Various,FLAC,BitTorrent,2019-07-16,blues ragtime pop 1920s 1930s 1940s jsp box-sets,
mc2351,Bob Dylan,The Times They Are a-Changin',"Bob Dylan, et al",FLAC,BitTorrent,2016-04-29,folk blues 1960s columbia,
mc2352,Bob Dylan,Blood on the Tracks,"Bob Dylan, et al",FLAC,BitTorrent,2015-12-27,rock blues folk 1970s columbia,
mc2353,Bob Dylan,Tempest,"Bob Dylan, et al",FLAC,BitTorrent,2016-04-29,rock 2010s,
mc2354,Bob Dylan,Modern Times,"Bob Dylan, et al",FLAC,BitTorrent,2016-04-29,rock 2000s,
mc2355,Bob Dylan,The Original Basement Tape,"Bob Dylan, The Band",FLAC,BitTorrent,2015-12-06,rock 1960s vinyl,
mc2358,Kenny Drew,Trio/Quartet/Quintet: The Riverside Collection,"Kenny Drew, et al",FLAC,BitTorrent,2015-12-06,jazz 1960s compilations,
mc2359,Tom Lehrer,The Remains of Tom Lehrer,"Tom Lehrer, et al",FLAC,BitTorrent,2015-12-07,comedy box-sets,Could use reorganization.
mc2360,Sonny Rollins,And the Contemporary Leaders,"Sonny Rollins, et al",FLAC,BitTorrent,2017-11-12,jazz 1950s,
mc2361,Sonny Rollins,East Broadway Run Down,"Sonny Rollins, et al",FLAC,BitTorrent,2017-11-12,jazz 1960s impulse,
mc2362,Sonny Rollins,What's New?,"Sonny Rollins, et al",FLAC,BitTorrent,2017-11-12,jazz 1960s,
mc2363,Sonny Rollins,Vol. 1,"Sonny Rollins, et al",FLAC,BitTorrent,2015-12-08,jazz 1950s blue-note hdtracks,
mc2364,The Band,Music From Big Pink,The Band,"Sun/NeXT AU, pcm_s16be at 48 kHz",BitTorrent,2015-12-09,rock folk 1960s hdtracks,24-bit/96 kHz FLAC decoded & converted to AU 2025-06.
mc2365,The Band,Stage Fright,The Band,FLAC,BitTorrent,2015-12-09,rock 1970s hdtracks,
mc2366,Andrew Hill,Hommage,Andrew Hill,FLAC,BitTorrent,2015-12-10,piano solo jazz 1970s,
mc2367,John Dowland,Complete Lute Music,Nigel North,FLAC,BitTorrent,2022-11-22,16th-century 17th-century lute solo naxos box-sets,Great recordings.
mc2368,Johann Sebastian Bach,"Orchestral Suites, BWV 1066--1069","Academy of Ancient Music, Richard Egarr",FLAC,BitTorrent,2015-12-13,orchestral suites 18th-century,
mc2370,Johann Sebastian Bach,"St. Matthew Passion, BWV 245","Academy of Ancient Music, Richard Egarr, et al",FLAC,BitTorrent,2015-12-13,choral oratorios 18th-century,
mc2371,Johann Sebastian Bach,"St. John Passion, BWV 245 (1724 version)","Academy of Ancient Music, Richard Egarr, et al",FLAC,BitTorrent,2015-12-13,choral oratorios 18th-century,
mc2372,Johann Sebastian Bach,"6 Partitas, BWV 825--830",Martin Gester,FLAC,BitTorrent,2015-12-15,solo harpsichord 18th-century,
mc2373,"Johann Sebastian Bach, Sylvius Leopold Weiss",Lute Music,Satoh Toyohiko,FLAC,BitTorrent,2015-12-15,solo lute 18th-century,
mc2374,Johann Sebastian Bach,"Christmas Oratorio, BWV 248","Netherlands Bach Society, Jos van Veldhoven, et al",FLAC,BitTorrent,2015-12-15,cantatas 18th-century,
mc2375,George Frideric Handel,"Esther, HWV 50A","Dunedin Consort, John Butt, et al",FLAC,BitTorrent,2015-12-17,oratorios 18th-century,
mc2376,Johann Sebastian Bach,Cello Suites,David Watkin,FLAC,BitTorrent,2015-12-17,cello solo 18th-century suites,
mc2377,Johann Sebastian Bach,Double & Triple Concerti,"Brecon Baroque, Rachel Podger",FLAC,BitTorrent,2015-12-17,concertos 18th-century,
mc2378,Johann Sebastian Bach,Sonatas & Partitas for Solo Violin,Pavlo Beznosiuk,FLAC,BitTorrent,2015-12-19,solo violin 18th-century,
mc2379,Bob Dylan,Pat Garrett & Billy the Kid,"Bob Dylan, et al",FLAC,Personal collection,2016-04-03,rock folk soundtracks 1970s,
mc2381,Johann Sebastian Bach,L'Oeuvre de luth,Hopkinson Smith,FLAC,BitTorrent,2015-12-20,lute solo 18th-century,
mc2382,François Couperin,Les Nations,"Hespèrion XX, Jordi Savall",FLAC,BitTorrent,2015-12-21,orchestral suites 17th-century,
mc2383,Francisco Guerau,Poema Harmonico,Hopkinson Smith,FLAC,BitTorrent,2015-12-21,solo guitar 17th-century,
mc2384,Albert de Rippe,Tabulature de leut,Hopkinson Smith,FLAC,BitTorrent,2015-12-21,solo lute 17th-century,
mc2385,Alonso Mudarra,Tres libros de música en cifras,Hopkinson Smith,FLAC,BitTorrent,2015-12-21,guitar vihuela 16th-century,
mc2386,Johann Sebastian Bach,Cello Suites nos. 4--6,Hopkinson Smith,FLAC,BitTorrent,2015-12-21,solo suites lute arrangements 18th-century,
mc2387,Johann Sebastian Bach,Cello Suites nos. 1--3,Hopkinson Smith,FLAC,BitTorrent,2015-12-21,solo suites lute arrangements 18th-century,
mc2388,Charles Mouton,Pièces de Luth,Hopkinson Smith,FLAC,BitTorrent,2015-12-21,lute solo 17th-century,
mc2389,Jacques de Gallot,Pièces de Luth,Hopkinson Smith,FLAC,BitTorrent,2015-12-21,lute solo 17th-century,
mc2390,Johann Sebastian Bach,"Sonatas & Partitas, BWV 1001--1006",Hopkinson Smith,FLAC,BitTorrent,2015-12-21,lute solo arrangements suites 18th-century,
mc2391,Giovanni Girolamo Kapsberger,Libro primo d'intavolatura di lauto,Hopkinson Smith,FLAC,BitTorrent,2015-12-21,lute solo 17th-century,
mc2392,Luys Milan,Música de vihuela de mano,Hopkinson Smith,FLAC,BitTorrent,2015-12-21,lute solo 16th-century,
mc2393,Ennemond Gaultier,Pièces de luth du Vieux Gaultier,Hopkinson Smith,FLAC,BitTorrent,2015-12-21,lute solo 17th-century,
mc2394,Luys Milan,"Tome II. Sonetos, Villacicos y Romances","Hopkinson Smith, Monserrat Figueras",FLAC,BitTorrent,2015-12-22,vihuela chamber 16th-century,
mc2395,Luys de Narváez,Los seys líbros del Delphín de música,Hopkinson Smith,FLAC,BitTorrent,2015-12-22,vihuela solo 16th-century,
mc2396,"Francesco da Milano, et al",'Il Divino': Music from the world of Francesco da Milano,Hopkinson Smith,FLAC,BitTorrent,2015-12-22,lute solo 16th-century,
mc2397,Pierre Attaingnant,"Préludes, Chansons & Danses",Hopkinson Smith,FLAC,BitTorrent,2015-12-22,solo lute 16th-century,
mc2398,Igor Stravinsky,"The Rite of Spring, The Nightingale","London Symphony Orchestra, Philharmonia Orchestra, Robert Craft, et al",FLAC,Personal collection,2015-12-26,orchestral 20th-century naxos,
mc2399,Ron Carter,Where?,"Ron Carter, et al",FLAC,BitTorrent,2015-12-30,jazz 1960s blue-note,
mc2400,Thelonious Monk & Sonny Rollins,Thelonious Monk / Sonny Rollins,"Thelonious Monk, Sonny Rollins, et al",FLAC,BitTorrent,2015-12-30,jazz 1950s prestige,
mc2401,Sonny Rollins,Moving Out,"Sonny Rollins, Kenny Dorham, Thelonious Monk, et al",FLAC,BitTorrent,2015-12-30,jazz 1950s prestige,
mc2402,Roland Kirk & Jack McDuff,Kirk's Work,"Roland Kirk, Jack McDuff, et al",FLAC,BitTorrent,2015-12-30,jazz 1960s,
mc2403,"John Coltrane, Teddy Charles",Dakar,"John Coltrane, et al",FLAC,BitTorrent,2015-12-31,jazz 1950s prestige,
mc2404,John Coltrane,Lush Life,"John Coltrane, et al",FLAC,BitTorrent,2015-12-31,jazz 1950s prestige,
mc2405,John Coltrane,Settin' the Pace,"John Coltrane, et al",FLAC,BitTorrent,2015-12-31,jazz 1950s prestige,
mc2406,John Coltrane,Soultrane,"John Coltrane, et al",FLAC,BitTorrent,2015-12-31,jazz 1950s prestige,
mc2407,John Coltrane,Standard Coltrane,"John Coltrane, et al",FLAC,BitTorrent,2015-12-31,jazz 1950s prestige,
mc2408,Thelonious Monk,Monk,"Thelonious Monk, et al",FLAC,BitTorrent,2015-12-31,jazz 1950s prestige,
mc2409,Thelonious Monk,Thelonious Monk Trio,"Thelonious Monk, et al",FLAC,BitTorrent,2015-12-31,jazz 1950s prestige,
mc2410,Giuseppe Verdi,String Quartet,Amadeus Quartet,Ogg Vorbis -q 5,New York Public Library,2010-06-08,19th-century chamber,Split from compilation.
mc2411,Various,Spreading The Word: Early Gospel Recordings,Various,MP3 192 kb/s,BitTorrent,2019-07-24,gospel box-sets jsp,
mc2412,Various,Memphis Shakedown: More Jug Band Classics,Various,FLAC,BitTorrent,2019-07-24,jug-band blues ragtime 1930s 1940s jsp box-sets,
mc2413,Various,Texas Alexander & His Circle 1927--1951,Various,FLAC,BitTorrent,2019-07-24,jazz blues 1920s 1930s 1940s 1950s box-sets jsp,
mc2414,B.B. King,The Vintage Years,"B.B. King, et al",FLAC,BitTorrent,2019-08-14,blues rock rnb 1950s 1960s box-sets,
mc2416,Mew,And The Glass Handed Kites,Mew,FLAC,BitTorrent,2020-01-24,rock progressive-rock 2000s,
mc2422,Bill Frisell,Unspeakable,"Bill Frisell, et al",FLAC,BitTorrent,2021-12-18,jazz folk rock country 2000s,
mc2423,Manaka Kataoka & Yasuaki Iwata,The Legend of Zelda: Breath of the Wild Expanded Soundtrack,BitTorrent,FLAC,BitTorrent,2020-05-03,soundtracks 2010s,
mc2424,Albert Collins,Ice Pickin',"Albert Collins, et al",FLAC,BitTorrent,2020-06-12,blues rock funk 1970s,
mc2425,Albert King,Born Under a Bad Sign,"Albert King, Booker T. & The MGs, et al",FLAC,BitTorrent,2020-06-12,blues rock rnb 1960s stax,
mc2426,B.B. King,Live at the Regal,"B.B. King, et al",FLAC,BitTorrent,2020-06-12,blues rnb rock 1960s live,
mc2427,Fred McDowell,Down Home Blues,"Fred McDowell, et al",MP3 128 kb/s,BitTorrent,2020-06-12,blues 1950s jsp lomax,"Also includes recordings by the Young Brothers, Miles & Bob Pratcher, Forest City Joe, and others."
mc2428,Otis Redding,Original Album Series,"Otis Redding, Booker T. & the MGs, et al",FLAC,BitTorrent,2020-06-12,soul rock rnb blues stax 1960s box-sets,
mc2429,U2,Boy,U2,FLAC,BitTorrent,2020-07-23,rock 1980s,
mc2430,U2,War,U2,FLAC,BitTorrent,2020-07-23,rock 1980s,
mc2431,Derek & The Dominos,Layla And Other Assorted Love Songs,Derek & The Dominos,FLAC,BitTorrent,2020-07-23,rock blues 1970s,
mc2432,U2,The Joshua Tree,U2,FLAC,BitTorrent,2020-07-23,rock 1980s,
mc2434,Porcupine Tree,Octane Twisted,Porcupine Tree,FLAC,BitTorrent,2020-07-31,rock progressive-rock 2010s,
mc2435,Porcupine Tree,Signify,Porcupine Tree,FLAC,BitTorrent,2020-07-31,rock progressive-rock 1990s,Needs INFO file.
mc2446,Brian Eno,Ambient 1 (Music For Airports),"Brian Eno, et al",FLAC,BitTorrent,2020-09-05,ambient 1970s,
mc2447,Harold Budd & Brian Eno,Ambient 2 (The Plateaux of Mirror),Harold Budd & Brian Eno,FLAC,BitTorrent,2020-09-05,ambient 1980s,
mc2448,Laraaji & Brian Eno,Ambient 3 (Day of Radiance),Laraaji & Brian Eno,FLAC,BitTorrent,2020-09-05,ambient 1980s,
mc2449,Brian Eno,Ambient 4 (On Land),"Brian Eno, et al",FLAC,BitTorrent,2020-09-05,ambient 1980s,
mc2450,U2,October,U2,FLAC,BitTorrent,2020-09-09,rock 1980s,
mc2451,U2,The Unforgettable Fire,U2,FLAC,BitTorrent,2020-09-09,rock 1980s,
mc2452,Toots & The Maytals,The Very Best Of Toots & The Maytals,Toots & The Maytals,FLAC,BitTorrent,2020-09-13,reggae ska rock compilations,
mc2453,Phoenix,Wolfgang Amadeus Phoenix,Phoenix,FLAC,BitTorrent,2012-11-14,rock pop 2010s,Recatalogued 2020-09-13
mc2454,John Hassell & Brian Eno,Fourth World Vol. 1: Possible Musics,"Jon Hassel, Brian Eno",FLAC,BitTorrent,2020-09-23,ambient 1980s 20th-century,
mc2455,Various,The Florilegium Series: Medieval & Renaissance,"The Medieval Ensemble of London, The Consort of Musicke, et al",FLAC,BitTorrent,2020-11-01,medieval renaissance box-sets,
mc2456,The Allman Brothers Band,The 1971 Fillmore East Recordings,The Allman Brothers Band,FLAC,BitTorrent,2020-11-04,rock blues jazz 1970s live box-set,
mc2457,The Allman Brothers Band,Brothers and Sisters (Super Deluxe Edition),The Allman Brothers Band,FLAC,BitTorrent,2020-11-18,rock blues country jazz 1970s,
mc2458,The Allman Brothers Band,Eat a Peach,The Allman Brothers Band,FLAC,BitTorrent,2020-11-18,rock blues country jazz 1970s,
mc2459,Willie Nelson,Red Headed Stranger,"Willie Nelson, et al",FLAC,BitTorrent,2020-11-18,rock blues country jazz 1970s,
mc2460,Al Green,Green Is Blues,"Al Green, et al",FLAC,BitTorrent,2020-12-01,soul rnb rock blues,
mc2461,Al Green,I'm Still In Love With You,"Al Green, et al",FLAC,BitTorrent,2020-12-01,soul rnb rock blues,
mc2462,Al Green,Let's Stay Together,"Al Green, et al", FLAC,BitTorrent,2020-12-01,soul rnb rock blues,
mc2463,Al Green,Call Me,"Al Green, et al",FLAC,BitTorrent,2020-12-01,soul rnb rock blues,
mc2464,King Crimson,Beat,King Crimson,FLAC,BitTorrent,2020-12-05,progressive-rock,
mc2465,King Crimson,In the Court of the Crimson King,King Crimson,FLAC,BitTorrent,2020-12-05,progressive-rock,
mc2466,King Crimson,In the Wake of Poseidon,King Crimson,FLAC,BitTorrent,2020-12-05,progressive-rock,
mc2467,King Crimson,Islands,King Crimson,FLAC,BitTorrent,2020-12-05,progressive-rock,
mc2468,King Crimson,Larks' Tongues in Aspic,King Crimson,FLAC,BitTorrent,2020-12-05,progressive-rock,
mc2469,King Crimson,Red,King Crimson,FLAC,BitTorrent,2020-12-05,progressive-rock,
mc2470,King Crimson,Starless and Bible Black,King Crimson,FLAC,BitTorrent,2020-12-05,progressive-rock,
mc2471,King Crimson,Three of a Perfect Pair,King Crimson,FLAC,BitTorrent,2020-12-05,progressive-rock,
mc2472,Silvius Leopold Weiss,The London Manuscript,Michel Cardin,FLAC,BitTorrent,2020-12-28,baroque chamber lute box-sets,
mc2473,Erik Bosgraaf & Yuri Honing,Hotel Terminus,"Erik Bosgraaf, Yuri Honing, et al",FLAC,BitTorrent,2021-01-05,chamber jazz improvisation 2010s,
mc2474,Georg Böhm,Orgelwerke,Hans Davidsson,FLAC,BitTorrent,2021-01-12,baroque organ solo,
mc2475,"Al Cohn, Joe Newman, & Freddie Green",Mosaic Select,"Al Cohn, Joe Newman, Freddie Green, et al",FLAC,BitTorrent,2021-01-12,jazz swing 1950s,
mc2476,Keith Jarrett,My Song,"Keith Jarrett, et al",FLAC,BitTorrent,2021-01-12,jazz 1970s ecm,
mc2477,La Reverdie,Suso in Italia Bella,La Reverdie,FLAC,BitTorrent,2021-01-12,renaissance italian instrumental,
mc2478,Antonio Vivaldi,New Discoveries (I & II),Modo Antiquo,FLAC,BitTorrent,2021-01-12,baroque instrumental concertos arias,
mc2479,Georg Böhm,Harpsichord Music,Robert Woolley,FLAC,BitTorrent,2021-01-15,baroque solo instrumental harpsichord,
mc2480,Ulrich Krieger,Walls of Sound,Ulrich Krieger,FLAC,BitTorrent,2021-01-15,contemporary saxophone chamber,
mc2481,Wolfgang Amadeus Mozart,Sonatas for Fortepiano & Violin,"Petra Müllejans, Kristian Bezuidenhout",FLAC,BitTorrent,2021-01-15,sonatas chamber classical fortepiano,
mc2482,Scion,Process and Arrange Basic Channel Tracks,"Scion, et al",FLAC,BitTorrent,2021-01-15,electronic techno ambient,
mc2483,Aphex Twin,Selected Ambient Works 85--92,Richard D. James,FLAC,BitTorrent,2021-01-15,electronic techno ambient,
mc2484,Aphex Twin,Selected Ambient Works Volume II,Richard D. James,FLAC,BitTorrent,2021-01-15,electronic techno ambient,
mc2485,Various,Deutsche Harmonia Mundi 50 CD Collection,Various,FLAC,BitTorrent,2021-01-25,box-sets baroque renaissance classical orchestral,"Includes works by Franz Schubert, George Frideric Handel, Carl Philipp Emanuel Bach, Johann Sebastian Bach, Ludwig van Beethoven, Luigi Boccherini, Eton Choirbook composers, Antonio Vivaldi, Joseph Haydn, Samuel Barber, Richard Strauss, Edward Elgar, Claudio Monteverdi, Wolfgang Amadeus Mozart, Henry Purcell, Jean-Philippe Rameau, Heinrich Schütz, Georg Philipp Telemann, Carl Maria von Weber, Sylvius Leopold Weiss, Francesco Maria Veracini, Johann Paul von Westhoff, Giovanni Battista Pergolesi, Johann Adolf Hasse, Thomas Arne, Franz Liszt, Arcangelo Corelli, Antonio Caldara, John Sutton, William Horewud, Edmundus Sturton, John Brown, Robert Wylkynson, Giovanni Girolamo Kapsberger, Vincenzo Bonizzi, Antonio Bertali, Antonio Lotti, Adrien-François Servais, Carl Stamitz"
mc2486,Porcupine Tree,Lightbulb Sun,Porcupine Tree,FLAC,BitTorrent,2021-01-28,rock 2000s progressive-rock,
mc2487,Porcupine Tree,Recordings,Porcupine Tree,FLAC,BitTorrent,2021-01-28,rock 2000s progressive-rock,
mc2488,Porcupine Tree,Stupid Dream,Porcupine Tree,FLAC,BitTorrent,2021-01-28,rock 2000s progressive-rock,
mc2489,Porcupine Tree,Warszawa,Porcupine Tree,FLAC,BitTorrent,2021-01-28,rock live 2000s progressive-rock,
mc2490,Various,Arp Schnitger in Niedersachsen,Various,FLAC,BitTorrent,2021-02-11,baroque german organ compilation,"Includes works by Georg Böhm, Samuel Scheidt, Anonymous (Susanne van Soldt manuscript), Heinrich Scheidemann, Vincent Lübeck, and Dieterich Buxtehude."
mc2491,Dieterich Buxtehude,Abendmusik,"Capriccio Stravagante, Skip Sempé",FLAC,BitTorrent,2021-02-11,baroque german chamber instrumental,
mc2492,Dieterich Buxtehude,Cantatas,"The Amsterdam Baroque Orchestra, Hannover Knabenchor, Ton Koopman, et al",FLAC,BitTorrent,2021-02-11,baroque cantatas,
mc2493,Dieterich Buxtehude,Cantatas,"Arcadia, Jacqueline Ogeil",FLAC,BitTorrent,2021-02-11,baroque cantatas,
mc2494,"Dieterich Buxtehude, Heinrich Schütz",Membra Jesu Nostri; O Bone Jesu,"The Monteverdi Choir, The English Baroque Soloists, Fretwork, John Eliot Gardiner",FLAC,BitTorrent,2021-02-11,baroque cantatas,
mc2495,Dieterich Buxtehude,Membra Jesu Nostri; Heut triumphieret Gottes Sohn,"Concerto Vocale, René Jacobs, et al",FLAC,BitTorrent,2021-02-11,baroque cantatas,
mc2496,Dieterich Buxtehude,"Membra Jesu Nostri; Nimm von uns, Herr, du treuer Gott","Cantus Cölln, Konrad Junghänel",FLAC,BitTorrent,2021-02-11,baroque cantatas,
mc2497,Dieterich Buxtehude,Membra Jesu Nostri; Fried- un Freudenreiche Hinfahrth,"The Netherlands Bach Society, Jos van Veldhoven, et al",FLAC,BitTorrent,2021-02-11,baroque cantatas,
mc2498,Dieterich Buxtehude,Harpsichord Music,Lars Ulrik Mortensen,FLAC,BitTorrent,2021-02-11,baroque harpsichord solo instrumental,
mc2499,Dieterich Buxtehude,Pièces pour clavecin,Rinaldo Alessandrini,FLAC,BitTorrent,2021-02-11,baroque harpsichord solo instrumental,
mc2500,Georg Böhm,Cantatas,"Musica Alta Ripa, Capella Sancti Georgi, Ralf Popken, et al",FLAC,BitTorrent,2021-02-16,baroque cantatas,
mc2501,Felix Mendelssohn,The Mendelssohn Sonatas: A Cycle of Eighteen Poetic Movements,Hans Davidsson,FLAC,BitTorrent,2021-02-16,organ 19th-century solo instrumental,
