Catalog no.,Artist,Album,Performers,Encoding,Source,Date Added,Tags,Notes
mc0750,Pura Paku Alaman,Court Gamelan,"Pura Paku Alaman, K.R.T Wasitodipuro",Ogg Vorbis -q 5,New York Public Library,2008-12-24,java indonesia gamelan,
mc0751,Nikos Skalkottas,36 Greek Dances; The Return of Ulysses,"BBC Symphony Orchestra, Nikos Christodolou",Ogg Vorbis -q 5,BitTorrent,2012-03-21,20th-century orchestral,
mc0752,George Frideric Handel,Water Music; Music for the Royal Fireworks,"Le Concert des Nations, Jordi Savall",FLAC,BitTorrent,2014-01-28,18th-century baroque orchestral suites,
mc0753,Various,Peru: Music Of the High Andes,Various,Ogg Vorbis -q 5,New York Public Library,2008-12-20,folk peru field-recordings,
mc0754,Nikos Skalkottas,"The Maiden of Death, Piano Concerto no. 1, Ouverture Concertante","Iceland Symphony Orchestra, Nikos Christodolou",Ogg Vorbis -q 5,BitTorrent,2012-03-21,20th-century orchestral,
mc0755,Sam Cooke,Live at the Harlem Square Club,"Sam Cooke, et al",Ogg Vorbis -q 5,New York Public Library,2008-12-27,live 1960s,
mc0756,Jean-Baptiste Lully,l'Orchestre de Roi Soleil,"Le Concert des Nations, Jordi Savall",FLAC,BitTorrent,2014-01-28,orchestral 17th-century,
mc0757,Various,Soviet Avant-Garde,Steffen Schleiermacher,Ogg Vorbis -q 5,New York Public Library,2008-12-24,20th-century piano solo,
mc0758,Various,South Pacific: Island Music,Same,Ogg Vorbis -q 5,New York Public Library,2008-12-20,indonesia micronesia field-recordings,
mc0759,Sun Ra,Angels and Demons At Play/Nubians Of Plutonia,Sun Ra and the Arkestra,Ogg Vorbis -q 5,New York Public Library,2008-12-24,jazz 1950s 1960s,
mc0760,Lee Konitz,Satori,"Lee Konitz, et al",FLAC,BitTorrent,2016-09-19,jazz 1970s,
mc0761,Robert Fayrfax,"Fayrfax, vol. 5: Missa Regali ex progenie; etc.","The Cardinall's Musick, Andrew Carwood",FLAC,BitTorrent,2014-01-28,choral 15th-century 16th-century masses,Missing track.
